"BATCHID","INSTANCE_NAME","SNAP_TIME","DB_CPU","CONCURRENCY","DB_TIME","USER_IO","SYSTEM_IO","ADMINISTRATIVE","CONFIGURATION","OTHER","SCHEDULER","APPLICATION","CLUSTER","QUEUEING","COMMIT","NETWORK"
"1818","jydqdb2","2017-05-24 22:00:00","22978.01","0","57972.69","17875","1734","0","0","3441.68","0","0","3713","0","8231","0"
"1818","jydqdb2","2017-06-01 01:00:00","20130.06","0","70487.7","16096","706","0","0","20805.64","0","0","4314","0","8436","0"
"1818","jydqdb2","2017-06-01 03:00:00","13061.25","0","33459.47","7609","461","0","0","0","0","0","1887","0","4693","9374"
"1818","jydqdb2","2017-06-01 05:00:00","14568.33","0","26215.07","4840","390","0","0","1244.74","0","0","1939","0","3233","0"
"1818","jydqdb2","2017-06-15 06:00:00","17505.16","0","40220.37","15593","824","0","0","3732.21","0","0","1092","0","1018","456"
"1818","jydqdb2","2017-06-15 14:00:00","24341.61","0","36023.28","9464","1116","0","0","0","0","0","438","0","779","416"
"1818","jydqdb2","2017-06-15 20:00:00","21667.77","0","31243.8","7614","884","0","0","0","0","0","393","0","771","457"
"1818","jydqdb2","2017-05-25 19:00:00","18301.21","0","49204.09","19526","1085","0","0","2370.88","0","0","2858","0","5063","0"
"1818","jydqdb2","2017-05-25 21:00:00","18093.35","0","47909.8","20634","1929","0","0","0","0","0","2551","0","9359","0"
"1818","jydqdb2","2017-06-01 21:00:00","17336.94","0","30999.09","4533","1700","0","0","0","0","0","868","0","7416","345"
"1818","jydqdb1","2017-06-12 04:00:00","20132.57","994","59424.45","21718","574","0","0","0","0","12772","2490","0","6861","0"
"1818","jydqdb1","2017-05-29 00:00:00","15272.53","68","46845.59","27772","365","0","0","33.06","0","0","2641","0","694","0"
"1818","jydqdb1","2017-05-29 03:00:00","12079.62","0","52779.71","20908","179","0","0","1439.09","0","16066","1987","0","121","0"
"1818","jydqdb1","2017-06-05 13:00:00","95336.41","0","277197.99","23021","812","0","790","150511.58","0","2620","2057","0","2050","0"
"1818","jydqdb1","2017-05-29 11:00:00","17791.85","97","35193.27","17774","402","0","0","0","0","0","1087","0","794","0"
"1818","jydqdb1","2017-06-05 19:00:00","104231.22","0","298849.24","21563","1613","0","0","146335.02","0","14704","4598","0","5805","0"
"1818","jydqdb1","2017-06-13 14:00:00","24603.54","0","52797.36","17399","1137","0","0","0","0","5362","1147","0","4093","0"
"1818","jydqdb1","2017-05-30 23:00:00","23832.09","202","61054.44","36165","565","0","0","0","0","0","3238","0","2913","0"
"1818","jydqdb1","2017-06-07 07:00:00","27985.38","0","63586.18","25384","907","0","0","0","0","5130","2326","0","3924","0"
"1818","jydqdb1","2017-05-31 11:00:00","22163.11","0","54812.76","32275","476","0","0","0","0","244","2683","0","633","0"
"1818","jydqdb1","2017-05-31 12:00:00","74586.75","0","224858.68","35030","612","0","412","111632.93","0","0","1674","0","911","0"
"1818","jydqdb1","2017-05-31 13:00:00","78962.56","1312","143329.93","28437","1352","0","964","16544.37","0","0","11097","0","4661","0"
